code,name,address,coordinates
11140173,만리동1가,서울특별시 중구 만리동1가,POINT(37.5561628100871 126.967288060049)
11140174,만리동2가,서울특별시 중구 만리동2가,POINT(37.5545760844191 126.963956968884)
11170101,후암동,서울특별시 용산구 후암동,POINT(37.5486798277288 126.978150463736)
11170102,용산동2가,서울특별시 용산구 용산동2가,POINT(37.5419195197565 126.982945593811)
11170103,용산동4가,서울특별시 용산구 용산동4가,POINT(37.5306248837306 126.985224458926)
11170104,갈월동,서울특별시 용산구 갈월동,POINT(37.5467756584414 126.972162579372)
11170105,남영동,서울특별시 용산구 남영동,POINT(37.5430061454347 126.973322683547)
11170106,용산동1가,서울특별시 용산구 용산동1가,POINT(37.5399939693424 126.976967186602)
11170107,동자동,서울특별시 용산구 동자동,POINT(37.5520519606978 126.972396006945)
11170108,서계동,서울특별시 용산구 서계동,POINT(37.5529659898692 126.966999743181)
11170109,청파동1가,서울특별시 용산구 청파동1가,POINT(37.5487674651522 126.967458773793)
11170110,청파동2가,서울특별시 용산구 청파동2가,POINT(37.5465142049804 126.964798233694)
11170111,청파동3가,서울특별시 용산구 청파동3가,POINT(37.5432460079142 126.966972344614)
11170112,원효로1가,서울특별시 용산구 원효로1가,POINT(37.539613202648 126.967064466585)
11170113,원효로2가,서울특별시 용산구 원효로2가,POINT(37.5362892108966 126.963323111963)
11170114,신창동,서울특별시 용산구 신창동,POINT(37.5357673358181 126.954946215115)
11170115,산천동,서울특별시 용산구 산천동,POINT(37.535416505796 126.951801048783)
11170116,청암동,서울특별시 용산구 청암동,POINT(37.5344808673196 126.946678596744)
11170117,원효로3가,서울특별시 용산구 원효로3가,POINT(37.53430510598 126.957635334291)
11170118,원효로4가,서울특별시 용산구 원효로4가,POINT(37.5322516903751 126.950590243026)
11170119,효창동,서울특별시 용산구 효창동,POINT(37.5424588083351 126.9618988792)
11170120,도원동,서울특별시 용산구 도원동,POINT(37.5381208172629 126.955125834612)
11170121,용문동,서울특별시 용산구 용문동,POINT(37.537700864015 126.959891817892)
11170122,문배동,서울특별시 용산구 문배동,POINT(37.5371018437134 126.969405422634)
11170123,신계동,서울특별시 용산구 신계동,POINT(37.5358253064501 126.966740278708)
11170124,한강로1가,서울특별시 용산구 한강로1가,POINT(37.5339780623764 126.973054361529)
11170125,한강로2가,서울특별시 용산구 한강로2가,POINT(37.5315623013378 126.968683607087)
11170126,용산동3가,서울특별시 용산구 용산동3가,POINT(37.5318669434274 126.976965160519)
11170127,용산동5가,서울특별시 용산구 용산동5가,POINT(37.5261432450492 126.974364951898)
11170128,한강로3가,서울특별시 용산구 한강로3가,POINT(37.5276608637794 126.962182447512)
11170129,이촌동,서울특별시 용산구 이촌동,POINT(37.5141954312251 126.972097769518)
11170130,이태원동,서울특별시 용산구 이태원동,POINT(37.5402662116136 126.991527297365)
11170131,한남동,서울특별시 용산구 한남동,POINT(37.53462985578 127.000552132438)
11170132,동빙고동,서울특별시 용산구 동빙고동,POINT(37.5244123976897 126.995112936884)
11170133,서빙고동,서울특별시 용산구 서빙고동,POINT(37.5204623812777 126.994638088433)
11170134,주성동,서울특별시 용산구 주성동,POINT(37.5215725360092 126.999221719448)
11170135,용산동6가,서울특별시 용산구 용산동6가,POINT(37.5235531064681 126.980329796658)
11170136,보광동,서울특별시 용산구 보광동,POINT(37.526272167319 127.000171956489)
11200101,상왕십리동,서울특별시 성동구 상왕십리동,POINT(37.5684327095864 127.024784739728)
11200102,하왕십리동,서울특별시 성동구 하왕십리동,POINT(37.5619122139371 127.028703243306)
11200103,홍익동,서울특별시 성동구 홍익동,POINT(37.5663550219261 127.032213833438)
11200104,도선동,서울특별시 성동구 도선동,POINT(37.5637958263855 127.033530216268)
11200105,마장동,서울특별시 성동구 마장동,POINT(37.5663795479871 127.045325760782)
11200106,사근동,서울특별시 성동구 사근동,POINT(37.5614997515695 127.045327331714)
11200107,행당동,서울특별시 성동구 행당동,POINT(37.5583059078881 127.037031736958)
11200108,응봉동,서울특별시 성동구 응봉동,POINT(37.5531604882762 127.033416807797)
11200109,금호동1가,서울특별시 성동구 금호동1가,POINT(37.554885724907 127.02279294328)
11200110,금호동2가,서울특별시 성동구 금호동2가,POINT(37.5529940659196 127.020406751011)
11200111,금호동3가,서울특별시 성동구 금호동3가,POINT(37.5499307132641 127.020166005976)
11200112,금호동4가,서울특별시 성동구 금호동4가,POINT(37.5447325755774 127.026161935006)
11200113,옥수동,서울특별시 성동구 옥수동,POINT(37.5435886378545 127.013438338877)
11200114,성수동1가,서울특별시 성동구 성수동1가,POINT(37.5417253860377 127.043351028535)
11200115,성수동2가,서울특별시 성동구 성수동2가,POINT(37.5409627375216 127.057019282187)
11200118,송정동,서울특별시 성동구 송정동,POINT(37.5545322586261 127.069569072089)
11200122,용답동,서울특별시 성동구 용답동,POINT(37.5640758244217 127.055579052769)
11215101,중곡동,서울특별시 광진구 중곡동,POINT(37.5617477458585 127.090401426965)
11215102,능동,서울특별시 광진구 능동,POINT(37.5537792609499 127.080536887135)
11215103,구의동,서울특별시 광진구 구의동,POINT(37.5502741239803 127.093135225891)
11215104,광장동,서울특별시 광진구 광장동,POINT(37.5468565308905 127.103025712709)
11215105,자양동,서울특별시 광진구 자양동,POINT(37.5311077958689 127.073018338792)
11215107,화양동,서울특별시 광진구 화양동,POINT(37.5464762611364 127.071367614735)
11215109,군자동,서울특별시 광진구 군자동,POINT(37.5554765598174 127.075350846159)
11230101,신설동,서울특별시 동대문구 신설동,POINT(37.5749629616682 127.025538570996)
11230102,용두동,서울특별시 동대문구 용두동,POINT(37.5754186480422 127.033598820976)
11230103,제기동,서울특별시 동대문구 제기동,POINT(37.5831154639893 127.037818414722)
11230104,전농동,서울특별시 동대문구 전농동,POINT(37.5793286114287 127.053978285554)
